"1880","A0 HVS 80 gr 150M","roll","15","330000","0"
"1807","A1 HVS 80 gr / PAPERPLUS 150 M","roll","15","230000","0"
"1222","AC 190 gr / NBA / 79x109","lembar","2","0","0"
"1796","AC 190 gr / PD / 61x86","rim-pln","2","1045000","0"
"1902","AC 190 gr / PD / 61x86","Lembar","2","2090","0"
"1223","AC 190 gr / PD / 65x100","rim-pln","2","1235000","2"
"1224","AC 190 gr / PD / 65x100","lembar","2","2700","112"
"1834","AC 190 gr / PD / 65x90","RIM-Plano","2","865000","0"
"1835","AC 190 gr / PD / 65x90","Lembar","2","1730","0"
"1225","AC 190 gr / PD / 79x109","rim-pln","2","1645000","8"
"1226","AC 190 gr / PD / 79x109","lembar","2","3500","256"
"1859","AC 190 gr /OJI/ 65x100","RIM-Plano","2","925000","0"
"1827","AC 210 gr / PD / 65x90","RIM-Plano","2","1215000","0"
"1828","AC 210  gr / PD / 65x90","Lembar","2","1840","0"
"1850","AC 210 gr / NBA / 79X109","RIM-Plano","2","1485000","0"
"1851","AC 210 gr / NBA / 79X109","Lembar","2","3100","0"
"1227","AC 210 gr / PD / 65x100","rim-pln","2","1370000","1"
"1228","AC 210 gr / PD / 65x100","lembar","2","2900","21"
"1229","AC 210 gr / PD / 79x109","rim-pln","2","1825000","8"
"1230","AC 210 gr / PD / 79x109","lembar","2","3800","63"
"1896","AC 230 gr / OJI / 79x109","Lembar","2","3800","0"
"1897","AC 230 gr / PD / 61X86","RIM-Plano","2","1225000","0"
"1231","AC 230 gr / PD / 65x100","rim-pln","2","1500000","3"
"1232","AC 230 gr / PD / 65x100","lembar","2","3200","121"
"1233","AC 230 gr / PD / 65x90","rim-pln","2","1355000","0"
"1234","AC 230 gr / PD / 65x90","lembar","2","2710","0"
"1235","AC 230 gr / PD / 79x109","rim-pln","2","1985000","6"
"1236","AC 230 gr / PD / 79x109","lembar","2","4200","237"
"1237","AC 260 gr / NBA / 79x109","lembar","2","3450","0"
"1238","AC 260 gr / PD / 65x100","rim-pln","2","1695000","20"
"1239","AC 260 gr / PD / 65x100","lembar","2","3550","146"
"1240","AC 260 gr / PD / 65x90","rim-pln","2","1490000","0"
"1241","AC 260 gr / PD / 65x90","lembar","2","3150","0"
"1242","AC 260 gr / PD / 79x109","rim-pln","2","2245000","4"
"1243","AC 260 gr / PD / 79x109","lembar","2","4700","413"
